experiment_id,pipeline_name,node_name,model_variant,cpu_request,memory_request,max_batch_size,max_batch_time,load,load_duration,series,series_meta,replicas,no_engine,mode,data_type,benchmark_duration
1,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
2,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
3,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
4,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
5,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
6,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
7,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
8,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
9,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,4,1,10,60,99,testing static trace,1,False,exponential,text,1
10,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,4,1,10,60,99,testing static trace,1,False,exponential,text,1
11,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,4,1,10,60,99,testing static trace,1,False,exponential,text,1
12,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,4,1,10,60,99,testing static trace,1,False,exponential,text,1
13,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,8,1,10,60,99,testing static trace,1,False,exponential,text,1
14,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,8,1,10,60,99,testing static trace,1,False,exponential,text,1
15,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,8,1,10,60,99,testing static trace,1,False,exponential,text,1
16,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,8,1,10,60,99,testing static trace,1,False,exponential,text,1
17,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,2,10Gi,16,1,10,60,99,testing static trace,1,False,exponential,text,1
18,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,4,10Gi,16,1,10,60,99,testing static trace,1,False,exponential,text,1
19,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,8,10Gi,16,1,10,60,99,testing static trace,1,False,exponential,text,1
20,nlp,nlp-trans,Helsinki-NLP-opus-mt-fr-en,16,10Gi,16,1,10,60,99,testing static trace,1,False,exponential,text,1
21,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,2,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
22,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,4,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
23,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,8,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
24,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,16,10Gi,1,1,10,60,99,testing static trace,1,False,exponential,text,1
25,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,2,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
26,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,4,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
27,nlp,nlp-trans,Helsinki-NLP-opus-mt-tc-big-fr-en,8,10Gi,2,1,10,60,99,testing static trace,1,False,exponential,text,1
